East Kootenay;60439.0;2.2;27543.0
Powell River;20070.0;4.0;5075.0
Cowichan Valley;83739.0;24.1;3475.0
Cariboo;61988.0;0.77;80609.0
Bulkley-Nechako;37896.0;0.52;73361.0
Fraser-Fort George;94506.0;1.9;50676.0
Capital;383360.0;163.8;2340.0
Strathcona;44671.0;2.4;18278.0
Central Kootenay;59517.0;2.7;22095.0
Okanagan-Similkameen;83022.0;8.0;10414.0
Mount Waddington;11035.0;0.55;20244.0
North Okanagan;84354.0;11.2;7503.0
Columbia-Shuswap;51366.0;1.8;28929.0
Comox Valley;66527.0;39.1;1701.0
Thompson-Nicola;132663.0;3.0;44448.0
Nanaimo;155698.0;76.4;2038.0
Stikine Region;740.0;0.01;118663.0
Metro Vancouver;2463431.0;854.5;2883.0
Fraser Valley;295934.0;22.2;13335.0
Central Coast;3319.0;0.14;24492.0
North Coast;18133.0;0.92;19781.0
Peace River;62942.0;0.54;117391.0
Squamish-Lillooet;42665.0;2.6;16310.0
Northern Rockies;5393.0;0.06;85111.0
Central Okanagan;194882.0;67.1;2905.0
Sunshine Coast;29970.0;7.9;3777.0
Alberni-Clayoquot;30981.0;4.7;6588.0
Kootenay Boundary;31447.0;3.9;8082.0
Kitimat-Stikine;37367.0;0.36;104461.0
