Central and Western;244600.0;19983.92;12.44
Eastern;574500.0;31217.67;18.56
Southern;269200.0;6962.68;38.85
Wan Chai;150900.0;15300.1;9.83
Sham Shui Po;390600.0;41529.41;9.35
Kowloon City;405400.0;40194.7;10.02
Kwun Tong;641100.0;56779.05;11.27
Wong Tai Sin;426200.0;45645.16;9.3
Yau Tsim Mong;318100.0;44864.09;6.99
Islands;146900.0;825.14;175.12
Kwai Tsing;507100.0;21503.86;23.34
North;310800.0;2220.19;136.61
Sai Kung;448600.0;3460.08;129.65
Sha Tin;648200.0;9433.85;68.71
Tai Po;307100.0;2220.35;136.15
Tsuen Wan;303600.0;4887.38;61.71
Tuen Mun;495900.0;5889.38;82.89
Yuen Long;607200.0;4297.99;138.46
